model,acc_mean,acc_std,f1_mean,f1_std,n_runs
6_svm_bigram,0.6848,0.0848,0.6734,0.0824,18
7_svm_trigram,0.6824,0.0871,0.6703,0.0835,18
8_xgb_combined,0.648,0.1023,0.6296,0.087,18
5_svm_unigram,0.62,0.1217,0.6013,0.1197,18
2_lr_handcrafted,0.6106,0.0647,0.5798,0.0645,18
4_nb_unigram,0.6043,0.1281,0.5812,0.1386,18
3_rf_handcrafted,0.5478,0.0747,0.5271,0.0669,18
1_majority,0.279,0.0499,0.1085,0.0146,18
0_random,0.2467,0.0279,0.2441,0.0263,18
