song_file,instrument,piece,start_bar,end_bar,sustain_ratio,low_oct_ratio,mid_oct_ratio,high_oct_ratio,lukabad_density,paren_ratio,transition_entropy
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,225,240,0.234375,0.0,0.6122448979591837,0.3877551020408163,0.0,0.0,4.7911044321792735
จีนขิมเล็ก เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,จีนขิมเล็ก,1,16,0.2,0.0,0.6730769230769231,0.3269230769230769,0.0625,0.0,4.609473149067329
จีนขิมเล็ก เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,จีนขิมเล็ก,9,24,0.12121212121212122,0.0,0.6206896551724138,0.3793103448275862,0.125,0.0,5.000773536199102
จีนขิมเล็ก เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,จีนขิมเล็ก,17,32,0.09230769230769231,0.0,0.6610169491525424,0.3389830508474576,0.0625,0.0,4.727719969293428
จีนขิมเล็ก เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,จีนขิมเล็ก,25,40,0.03125,0.0,0.532258064516129,0.46774193548387094,0.0,0.0,4.875945352305407
จีนขิมเล็ก เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,จีนขิมเล็ก,33,48,0.0625,0.0,0.5833333333333334,0.4166666666666667,0.0,0.0,5.068006708973817
จีนขิมเล็ก เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,จีนขิมเล็ก,41,56,0.296875,0.0,0.6,0.4,0.0,0.0,5.013326654401496
จีนขิมเล็ก เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,จีนขิมเล็ก,49,64,0.46875,0.0,0.47058823529411764,0.5294117647058824,0.0,0.0,4.283167924242764
จีนขิมเล็ก เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,จีนขิมเล็ก,57,72,0.546875,0.0,0.5517241379310345,0.4482758620689655,0.0,0.0,4.211227450292405
จีนขิมเล็ก เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,จีนขิมเล็ก,65,80,0.36923076923076925,0.0,0.5365853658536586,0.4634146341463415,0.0625,0.0,4.518550876357291
จีนขิมเล็ก เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,จีนขิมเล็ก,73,88,0.12121212121212122,0.0,0.6206896551724138,0.3793103448275862,0.125,0.0,5.000773536199102
จีนขิมเล็ก เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,จีนขิมเล็ก,81,96,0.09230769230769231,0.0,0.6610169491525424,0.3389830508474576,0.0625,0.0,4.727719969293428
จีนขิมเล็ก เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,จีนขิมเล็ก,89,104,0.203125,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,4.615780915391704
จีนขิมเล็ก เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,จีนขิมเล็ก,97,112,0.28125,0.0,0.6739130434782609,0.32608695652173914,0.0,0.0,4.8937138519683225
จีนขิมเล็ก เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,จีนขิมเล็ก,105,120,0.28125,0.0,0.45652173913043476,0.5434782608695652,0.0,0.0,4.51276147101594
จีนขิมเล็ก เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,จีนขิมเล็ก,113,128,0.484375,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,4.136720447655449
จีนขิมเล็ก เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,จีนขิมเล็ก,121,136,0.390625,0.0,0.4358974358974359,0.5641025641025641,0.0,0.0,4.525153836906837
