instrument,sustain_ratio,low_oct_ratio,mid_oct_ratio,high_oct_ratio,lukabad_density,paren_ratio,transition_entropy
ขลุ่ย-ปี่,0.185013159931878,0.0243161094224924,0.6956686930091185,0.28001519756838905,0.031795511221945134,0.006234413965087282,5.9771883720564265
ฆ้องวงใหญ่,0.3685403445149592,0.10624551328068917,0.6817420435510888,0.21201244316822207,0.05990220048899755,0.006112469437652812,5.74699483875695
ซออู้,0.1073000455304295,0.00034002040122407346,0.8386603196191772,0.16099965997959878,0.003026634382566586,0.006053268765133172,5.540442428527943
ระนาดเอก,0.11102172164119067,0.07526395173453997,0.718552036199095,0.206184012066365,0.009635974304068522,0.008565310492505354,5.882667667055088
