model,acc_mean,acc_std,f1_mean,f1_std,avg_epochs,n_runs
9_cnn,0.698,0.0856,0.6845,0.0809,17.0556,18
10_bilstm,0.6977,0.0788,0.6896,0.0695,15.7778,18
12_tbc_full,0.6621,0.0967,0.6384,0.0988,15.1667,18
13_tbc_V2,0.6516,0.0803,0.6329,0.0679,14.7222,18
11_transformer_flat,0.6499,0.0953,0.6353,0.0886,15.2778,18
13_tbc_V1,0.6337,0.0901,0.6167,0.0872,15.1667,18
13_tbc_V0,0.4818,0.1025,0.45,0.102,15.1667,18
