instrument,piece,sustain_ratio,low_oct_ratio,mid_oct_ratio,high_oct_ratio,lukabad_density,paren_ratio,transition_entropy
ขลุ่ย-ปี่,กล่อมนารี,0.26597938144329897,0.0,0.6530898876404494,0.34691011235955055,0.0375,0.016666666666666666,5.513431733102041
ขลุ่ย-ปี่,จีนขิมเล็ก,0.25495376486129456,0.0,0.6152482269503546,0.38475177304964536,0.026595744680851064,0.0,5.341620764204806
ขลุ่ย-ปี่,ตับต้นเพลงฉิ่ง,0.007102272727272727,0.0,0.7067238912732475,0.2932761087267525,0.0,0.0,5.204227110292876
ขลุ่ย-ปี่,สาธุการ,0.18975225225225226,0.0847810979847116,0.6907574704656011,0.22446143154968728,0.03636363636363636,0.0,5.935637656179166
ขลุ่ย-ปี่,แขกมอญบางช้าง,0.19670442842430483,0.0,0.7935897435897435,0.2064102564102564,0.0375,0.0,5.67526009761822
ขลุ่ย-ปี่,โหมโรงมหาฤกษ์,0.35701906412478335,0.016172506738544475,0.6711590296495957,0.31266846361185985,0.08333333333333333,0.041666666666666664,4.868697732830624
ฆ้องวงใหญ่,กล่อมนารี,0.3457172342621259,0.04889589905362776,0.7018927444794952,0.24921135646687698,0.0375,0.016666666666666666,5.494163807631319
ฆ้องวงใหญ่,จีนขิมเล็ก,0.40554821664464996,0.0022222222222222222,0.6133333333333333,0.3844444444444444,0.026595744680851064,0.0,5.139288565224305
ฆ้องวงใหญ่,ตับต้นเพลงฉิ่ง,0.297349709114415,0.10119595216191353,0.6568537258509659,0.24195032198712052,0.028645833333333332,0.0,5.779746099883036
ฆ้องวงใหญ่,สาธุการ,0.4046306504961411,0.19722222222222222,0.6935185185185185,0.10925925925925926,0.12272727272727273,0.0,5.18745054805981
ฆ้องวงใหญ่,แขกมอญบางช้าง,0.359504132231405,0.08225806451612903,0.7096774193548387,0.20806451612903226,0.03333333333333333,0.0,5.58954800395968
ฆ้องวงใหญ่,โหมโรงมหาฤกษ์,0.45293072824156305,0.12337662337662338,0.7305194805194806,0.1461038961038961,0.0763888888888889,0.041666666666666664,4.6250740594310225
ซออู้,กล่อมนารี,0.19813278008298754,0.0,0.7865459249676585,0.21345407503234154,0.016666666666666666,0.016666666666666666,5.370792375466336
ซออู้,จีนขิมเล็ก,0.1716101694915254,0.0,0.7966751918158568,0.20332480818414322,0.0,0.0,5.059451152638531
ซออู้,ตับต้นเพลงฉิ่ง,0.008522727272727272,0.0,0.8495702005730659,0.1504297994269341,0.0,0.0,5.255882492862658
ซออู้,สาธุการ,0.01306076093128904,0.0,0.8383199079401611,0.1616800920598389,0.0022727272727272726,0.0,4.896779787717409
ซออู้,แขกมอญบางช้าง,0.103125,0.0,0.8896631823461092,0.11033681765389082,0.0,0.0,5.390587855693745
ซออู้,โหมโรงมหาฤกษ์,0.39855072463768115,0.006024096385542169,0.8825301204819277,0.11144578313253012,0.0,0.041666666666666664,4.458574472824574
ระนาดเอก,กล่อมนารี,0.1695501730103806,0.0763888888888889,0.7090277777777778,0.21458333333333332,0.013888888888888888,0.018518518518518517,5.722315981974869
ระนาดเอก,จีนขิมเล็ก,0.14785992217898833,0.0273972602739726,0.593607305936073,0.3789954337899543,0.0,0.011538461538461539,5.458486800924241
ระนาดเอก,ตับต้นเพลงฉิ่ง,0.027679205110007096,0.026277372262773723,0.7751824817518248,0.19854014598540146,0.002840909090909091,0.0,5.426945727260149
ระนาดเอก,สาธุการ,0.009085746734809767,0.14154727793696276,0.7054441260744986,0.1530085959885387,0.0022727272727272726,0.0,5.254959290491123
ระนาดเอก,แขกมอญบางช้าง,0.11238293444328824,0.04572098475967175,0.7901524032825322,0.16412661195779601,0.004166666666666667,0.0,5.6147266625495496
ระนาดเอก,โหมโรงมหาฤกษ์,0.38761061946902653,0.12427745664739884,0.7398843930635838,0.13583815028901733,0.0625,0.034722222222222224,4.917388728074296
