model,seed,held_out,accuracy,macro_f1,f1_khlui,f1_khong,f1_so,f1_ranat,n_train,n_test
0_random,42,กล่อมนารี,0.24285714285714285,0.23359135342044304,0.16393442622950818,0.18461538461538463,0.26666666666666666,0.3191489361702128,679,140
0_random,42,จีนขิมเล็ก,0.2815533980582524,0.2787659994402958,0.23809523809523808,0.28,0.3018867924528302,0.29508196721311475,716,103
0_random,42,ตับต้นเพลงฉิ่ง,0.2159090909090909,0.21465272856130405,0.24096385542168675,0.25,0.11764705882352941,0.25,643,176
0_random,42,สาธุการ,0.25,0.25218910518871435,0.19047619047619047,0.37623762376237624,0.24561403508771928,0.19642857142857142,603,216
0_random,42,แขกมอญบางช้าง,0.2413793103448276,0.2398954435339501,0.20408163265306123,0.1935483870967742,0.2807017543859649,0.28125,703,116
0_random,42,โหมโรงมหาฤกษ์,0.27941176470588236,0.28412162162162163,0.25,0.4,0.2702702702702703,0.21621621621621623,751,68
0_random,123,กล่อมนารี,0.29285714285714287,0.2788904727963887,0.2,0.19672131147540983,0.3188405797101449,0.4,679,140
0_random,123,จีนขิมเล็ก,0.2621359223300971,0.25368515665125835,0.16666666666666666,0.18181818181818182,0.3389830508474576,0.32727272727272727,716,103
0_random,123,ตับต้นเพลงฉิ่ง,0.2215909090909091,0.2234671743950641,0.2926829268292683,0.17391304347826086,0.2,0.22727272727272727,643,176
0_random,123,สาธุการ,0.2361111111111111,0.2359106243098355,0.27522935779816515,0.22857142857142856,0.23423423423423423,0.205607476635514,603,216
0_random,123,แขกมอญบางช้าง,0.27586206896551724,0.27440686934974523,0.20689655172413793,0.21428571428571427,0.36065573770491804,0.3157894736842105,703,116
0_random,123,โหมโรงมหาฤกษ์,0.17647058823529413,0.1789322095561484,0.11428571428571428,0.25,0.15789473684210525,0.1935483870967742,751,68
0_random,2024,กล่อมนารี,0.2642857142857143,0.2569828149958726,0.26666666666666666,0.2033898305084746,0.23529411764705882,0.3225806451612903,679,140
0_random,2024,จีนขิมเล็ก,0.2524271844660194,0.2462220644063933,0.30434782608695654,0.08888888888888889,0.3157894736842105,0.27586206896551724,716,103
0_random,2024,ตับต้นเพลงฉิ่ง,0.24431818181818182,0.24317630379889688,0.21428571428571427,0.24390243902439024,0.21978021978021978,0.29473684210526313,643,176
0_random,2024,สาธุการ,0.24074074074074073,0.24077289387920953,0.18691588785046728,0.2653061224489796,0.25,0.2608695652173913,603,216
0_random,2024,แขกมอญบางช้าง,0.2413793103448276,0.24177489177489175,0.2909090909090909,0.2222222222222222,0.25396825396825395,0.2,703,116
0_random,2024,โหมโรงมหาฤกษ์,0.22058823529411764,0.21678921568627452,0.375,0.13333333333333333,0.3,0.058823529411764705,751,68
1_majority,42,กล่อมนารี,0.37857142857142856,0.13730569948186527,0.0,0.0,0.0,0.5492227979274611,679,140
1_majority,42,จีนขิมเล็ก,0.30097087378640774,0.11567164179104478,0.0,0.0,0.0,0.4626865671641791,716,103
