window_size,n_windows,acc_mean,acc_std
4,3356,0.5502084712376223,0.08465950792203211
8,1666,0.6387364059776917,0.08173652573400626
16,819,0.6847556517667029,0.08243063802473023
32,394,0.7361010370158797,0.04297048625907638
64,176,0.7412940379403794,0.061141420520751444
